dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.3,0.952380952,0.8,1500,3
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.3,1,1,1100,4
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.3,0.974358974,0.923076923,2300,4
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.3,0.918918919,0.8,2200,4
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.3,1,1,600,4
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.3,1,1,1500,4
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.3,0.904761905,0.6,300,5
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.3,0.904761905,0.6,500,5
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.3,0.829268293,0.363636364,1300,5
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.3,0.974358974,0.923076923,3100,5
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.3,0.9,0.666666667,1500,5
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.4,0.930232558,0.769230769,1100,1
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.4,0.975609756,0.933333333,1100,1
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.4,0.975609756,0.933333333,1100,1
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.4,1,1,1400,1
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.952380952,0.857142857,1500,1
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.4,0.8,0.666666667,600,2
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.4,0.974358974,0.941176471,1300,2
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.4,0.95,0.875,1800,2
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.926829268,0.8,1100,2
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.857142857,0.761904762,1500,2
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.4,0.88372093,0.615384615,900,3
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.4,0.930232558,0.769230769,2600,3
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.4,0.909090909,0.666666667,1100,3
iscx_spam,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.952380952,0.857142857,3700,3
iscx_spam,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.930232558,0.769230769,1500,3
iscx_spam,cas,-1,2,20,20,15,100,500,100,0.4,1,1,300,4
iscx_spam,fcn,-1,2,100,100,15,100,500,100,0.4,0.930232558,0.769230769,1300,4
iscx_spam,mis,-1,2,100,100,15,100,500,100,0.4,0.952380952,0.857142857,2800,4
