dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor,mfid,200,-1,-1,-1,15,100,500,100,0.3,0.75,0.6,500,4
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.3,0.974358974,0.923076923,1500,4
tor,cas,-1,2,20,20,15,100,500,100,0.3,0.923076923,0.769230769,700,5
tor,fcn,-1,2,100,100,15,100,500,100,0.3,0.894736842,0.714285714,2400,5
tor,mis,-1,2,100,100,15,100,500,100,0.3,0,0.375,1200,5
tor,mfid,200,-1,-1,-1,15,100,500,100,0.3,0.761904762,0,900,5
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.3,0.864864865,0.666666667,1500,5
tor,cas,-1,2,20,20,15,100,500,100,0.4,0.974358974,0.941176471,1600,1
tor,fcn,-1,2,100,100,15,100,500,100,0.4,0.823529412,0.727272727,1400,1
tor,mis,-1,2,100,100,15,100,500,100,0.4,0.947368421,0.888888889,1400,1
tor,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.823529412,0.727272727,1000,1
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.787878788,0.695652174,1500,1
tor,cas,-1,2,20,20,15,100,500,100,0.4,0.95,0.875,500,2
tor,fcn,-1,2,100,100,15,100,500,100,0.4,0.947368421,0.888888889,1700,2
tor,mis,-1,2,100,100,15,100,500,100,0.4,0.95,0.875,1500,2
tor,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.888888889,0.8,700,2
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.894736842,0.777777778,1500,2
tor,cas,-1,2,20,20,15,100,500,100,0.4,0.810810811,0.631578947,500,3
tor,fcn,-1,2,100,100,15,100,500,100,0.4,0.787878788,0.695652174,2200,3
tor,mis,-1,2,100,100,15,100,500,100,0.4,0.926829268,0.8,1200,3
tor,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.952380952,0.857142857,900,3
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.787878788,0.695652174,1500,3
tor,cas,-1,2,20,20,15,100,500,100,0.4,0.266666667,0.153846154,400,4
tor,fcn,-1,2,100,100,15,100,500,100,0.4,0.926829268,0.8,500,4
tor,mis,-1,2,100,100,15,100,500,100,0.4,0.894736842,0.777777778,900,4
tor,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.709677419,0.64,200,4
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.709677419,0.64,1500,4
tor,cas,-1,2,20,20,15,100,500,100,0.4,0.952380952,0.857142857,1200,5
tor,fcn,-1,2,100,100,15,100,500,100,0.4,0.87804878,0.666666667,2000,5
tor,mis,-1,2,100,100,15,100,500,100,0.4,0.842105263,0.666666667,1300,5
tor,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.8,0.5,1000,5
tor,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.709677419,0.64,1500,5
tor,cas,-1,2,20,20,15,100,500,200,0.1,0.947368421,0.666666667,400,1
tor,fcn,-1,2,100,100,15,100,500,200,0.1,0.947368421,0.666666667,4500,1
tor,mis,-1,2,100,100,15,100,500,200,0.1,0.75,0.333333333,2600,1
tor,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.75,0.333333333,1200,1
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.947368421,0.666666667,1500,1
tor,cas,-1,2,20,20,15,100,500,200,0.1,0.811594203,0.315789474,600,2
tor,fcn,-1,2,100,100,15,100,500,200,0.1,0.918918919,0.571428571,1700,2
tor,mis,-1,2,100,100,15,100,500,200,0.1,0.84057971,0.421052632,900,2
tor,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.816901408,0.235294118,300,2
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.923076923,0.4,1500,2
tor,cas,-1,2,20,20,15,100,500,200,0.1,0.918918919,0.571428571,400,3
tor,fcn,-1,2,100,100,15,100,500,200,0.1,0.963855422,0.4,2200,3
tor,mis,-1,2,100,100,15,100,500,200,0.1,0.75,0.333333333,2600,3
tor,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.933333333,0.615384615,1500,3
