dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor_rf,mis,-1,2,100,100,15,100,500,100,0.3,0.974358974,0.923076923,1600,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.3,0.974358974,0.923076923,700,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.3,1,1,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,100,0.3,0.894736842,0.714285714,1000,5
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.3,0.923076923,0.769230769,2500,5
tor_rf,mis,-1,2,100,100,15,100,500,100,0.3,0.923076923,0.769230769,2700,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.3,0.923076923,0.769230769,900,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.3,0.923076923,0.769230769,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,100,0.4,0.974358974,0.941176471,500,1
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.4,0.974358974,0.941176471,600,1
tor_rf,mis,-1,2,100,100,15,100,500,100,0.4,0.974358974,0.941176471,1100,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.947368421,0.888888889,1200,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.947368421,0.888888889,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,100,0.4,0.952380952,0.857142857,1000,2
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.4,0.952380952,0.857142857,600,2
tor_rf,mis,-1,2,100,100,15,100,500,100,0.4,0.952380952,0.857142857,500,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.952380952,0.857142857,3500,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.952380952,0.857142857,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,100,0.4,0.95,0.875,400,3
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.4,0.95,0.875,1000,3
tor_rf,mis,-1,2,100,100,15,100,500,100,0.4,0.95,0.875,1300,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.95,0.875,1100,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.95,0.875,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,100,0.4,0.777777778,0.6,400,4
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.4,0.810810811,0.631578947,1700,4
tor_rf,mis,-1,2,100,100,15,100,500,100,0.4,0.777777778,0.6,800,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.810810811,0.631578947,700,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.810810811,0.631578947,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,100,0.4,0.952380952,0.857142857,900,5
tor_rf,fcn,-1,2,100,100,15,100,500,100,0.4,0.952380952,0.857142857,1800,5
tor_rf,mis,-1,2,100,100,15,100,500,100,0.4,0.952380952,0.857142857,1400,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,100,0.4,0.952380952,0.857142857,1400,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,100,0.4,0.952380952,0.857142857,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,200,0.1,1,1,400,1
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.1,1,1,2500,1
tor_rf,mis,-1,2,100,100,15,100,500,200,0.1,1,1,700,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.1,1,1,100,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.1,1,1,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,200,0.1,0.975609756,0.666666667,1900,2
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.1,0.975609756,0.666666667,3700,2
tor_rf,mis,-1,2,100,100,15,100,500,200,0.1,0.975609756,0.666666667,3600,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.975609756,0.666666667,600,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.975609756,0.666666667,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,200,0.1,0.987654321,0.857142857,700,3
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.1,1,1,1400,3
tor_rf,mis,-1,2,100,100,15,100,500,200,0.1,0.987654321,0.857142857,1400,3
